Time (mm-dd-yyyy H:M:S),Time (.1s Delta),Wheatstone Voltage (V),Range,Log Amp Voltage,Battery Voltage
01-22-2025 05:15:12 PM,1715,0.00000,0,1372.10000,3.77000
01-22-2025 05:17:50 PM,3294,0.00000,0,1372.10000,3.77000
01-22-2025 05:17:55 PM,3347,0.00000,0,1372.10000,3.77000
01-22-2025 05:18:00 PM,3395,0.00000,0,1372.10000,3.77000
01-22-2025 05:18:06 PM,3448,0.00000,0,1372.10000,3.77000
01-22-2025 05:23:03 PM,6417,0.00000,0,1372.10000,3.77000
01-22-2025 05:25:40 PM,7996,0.00000,0,1372.10000,3.77000
01-22-2025 05:25:46 PM,8049,0.00000,0,1372.10000,3.77000
01-22-2025 05:25:51 PM,8097,0.00000,0,1372.10000,3.77000
01-22-2025 05:25:56 PM,8151,0.00000,0,1372.10000,3.77000
01-22-2025 05:30:53 PM,11119,0.00000,0,1372.10000,3.77000
01-22-2025 05:33:31 PM,12699,0.00000,0,1372.10000,3.77000
01-22-2025 05:33:36 PM,12752,0.00000,0,1372.10000,3.77000
01-22-2025 05:33:41 PM,12800,0.00000,0,1372.10000,3.77000
01-22-2025 05:33:46 PM,12853,0.00000,0,1372.10000,3.77000
01-22-2025 05:38:43 PM,15822,0.00000,0,1372.10000,3.77000
01-22-2025 05:41:21 PM,17404,0.00000,0,1372.10000,3.77000
01-22-2025 05:41:26 PM,17452,0.00000,0,1372.10000,3.77000
01-22-2025 05:41:31 PM,17505,0.00000,0,1372.10000,3.77000
01-22-2025 05:41:36 PM,17553,0.00000,0,1372.10000,3.77000
01-22-2025 05:46:33 PM,20522,0.00000,0,1372.10000,3.77000
01-22-2025 05:49:11 PM,22105,0.00000,0,1372.10000,3.77000
01-22-2025 05:49:16 PM,22154,0.00000,0,1372.10000,3.77000
01-22-2025 05:49:26 PM,22255,0.00000,0,1372.10000,3.77000
01-22-2025 05:54:23 PM,25224,0.00000,0,1372.10000,3.77000
01-22-2025 05:56:56 PM,26756,0.00000,0,1372.10000,3.77000
01-22-2025 05:57:02 PM,26809,0.00000,0,1372.10000,3.77000
01-22-2025 05:57:07 PM,26857,0.00000,0,1372.10000,3.77000
01-22-2025 05:57:12 PM,26911,0.00000,0,1372.10000,3.77000
01-22-2025 05:57:17 PM,26959,0.00000,0,1372.10000,3.77000
01-22-2025 06:02:13 PM,29926,0.00000,0,1372.10000,3.77000
01-22-2025 06:04:47 PM,31460,0.00000,0,1372.10000,3.77000
01-22-2025 06:04:52 PM,31512,0.00000,0,1372.10000,3.77000
01-22-2025 06:04:57 PM,31560,0.00000,0,1372.10000,3.77000
01-22-2025 06:05:02 PM,31613,0.00000,0,1372.10000,3.77000
01-22-2025 06:05:07 PM,31661,0.00000,0,1372.10000,3.77000
01-22-2025 06:10:04 PM,34628,0.00000,0,1372.10000,3.77000
01-22-2025 06:13:00 PM,36388,0.00000,0,1372.10000,3.77000
01-22-2025 06:13:04 PM,36436,0.00000,0,1372.10000,3.77000
01-22-2025 06:13:10 PM,36489,0.00000,0,1372.10000,3.77000
01-22-2025 06:13:15 PM,36538,0.00000,0,1372.10000,3.77000
01-22-2025 06:13:20 PM,36591,0.00000,0,1372.10000,3.77000
01-22-2025 06:15:51 PM,38101,0.00000,0,1372.10000,3.77000
01-22-2025 06:15:56 PM,38149,0.00000,0,1372.10000,3.77000
01-22-2025 06:16:01 PM,38202,0.00000,0,1372.10000,3.77000
01-22-2025 06:16:06 PM,38250,0.00000,0,1372.10000,3.77000
01-22-2025 06:16:11 PM,38304,0.00000,0,1372.10000,3.77000
01-22-2025 06:18:42 PM,39808,0.00000,0,1372.10000,3.77000
01-22-2025 06:18:46 PM,39856,0.00000,0,1372.10000,3.77000
01-22-2025 06:18:52 PM,39909,0.00000,0,1372.10000,3.77000
01-22-2025 06:18:57 PM,39958,0.00000,0,1372.10000,3.77000
01-22-2025 06:23:40 PM,42794,0.00000,0,1372.10000,3.77000
01-22-2025 06:23:46 PM,42847,0.00000,0,1372.10000,3.77000
01-22-2025 06:23:50 PM,42895,0.00000,0,1372.10000,3.77000
01-22-2025 06:23:56 PM,42948,0.00000,0,1372.10000,3.77000
01-22-2025 06:24:00 PM,42997,0.00000,0,1372.10000,3.77000
01-22-2025 06:26:53 PM,44718,0.00000,0,1372.10000,3.77000
01-22-2025 06:26:57 PM,44766,0.00000,0,1372.10000,3.77000
01-22-2025 06:27:03 PM,44819,0.00000,0,1372.10000,3.77000
01-22-2025 06:27:08 PM,44868,0.00000,0,1372.10000,3.77000
01-22-2025 06:27:13 PM,44921,0.00000,0,1372.10000,3.77000
01-22-2025 06:29:44 PM,46433,0.00000,0,1372.10000,3.77000
01-22-2025 06:29:49 PM,46481,0.00000,0,1372.10000,3.77000
01-22-2025 06:29:54 PM,46535,0.00000,0,1372.10000,3.77000
01-22-2025 06:29:59 PM,46583,0.00000,0,1372.10000,3.77000
01-22-2025 06:32:34 PM,48136,0.00000,0,1372.10000,3.77000
01-22-2025 06:32:40 PM,48189,0.00000,0,1372.10000,3.77000
01-22-2025 06:32:45 PM,48237,0.00000,0,1372.10000,3.77000
01-22-2025 06:32:50 PM,48291,0.00000,0,1372.10000,3.77000
01-22-2025 06:35:25 PM,49842,0.00000,0,1372.10000,3.77000
01-22-2025 06:35:30 PM,49895,0.00000,0,1372.10000,3.77000
01-22-2025 06:35:35 PM,49944,0.00000,0,1372.10000,3.77000
01-22-2025 06:35:41 PM,49997,0.00000,0,1372.10000,3.77000
01-22-2025 06:38:16 PM,51549,0.00000,0,1372.10000,3.77000
01-22-2025 06:38:21 PM,51602,0.00000,0,1372.10000,3.77000
01-22-2025 06:38:26 PM,51650,0.00000,0,1372.10000,3.77000
01-22-2025 06:38:31 PM,51703,0.00000,0,1372.10000,3.77000
01-22-2025 06:38:36 PM,51752,0.00000,0,1372.10000,3.77000
01-22-2025 06:41:07 PM,53257,0.00000,0,1372.10000,3.77000
01-22-2025 06:41:12 PM,53310,0.00000,0,1372.10000,3.77000
01-22-2025 06:41:17 PM,53358,0.00000,0,1372.10000,3.77000
01-22-2025 06:41:22 PM,53411,0.00000,0,1372.10000,3.77000
01-22-2025 06:46:02 PM,56210,0.00000,0,1372.10000,3.77000
01-22-2025 06:48:36 PM,57747,0.00000,0,1372.10000,3.77000
01-22-2025 06:48:40 PM,57795,0.00000,0,1372.10000,3.77000
01-22-2025 06:48:46 PM,57849,0.00000,0,1372.10000,3.77000
01-22-2025 06:48:51 PM,57897,0.00000,0,1372.10000,3.77000
01-22-2025 06:51:48 PM,59669,0.00000,0,1372.10000,3.77000
01-22-2025 06:51:53 PM,59722,0.00000,0,1372.10000,3.77000
01-22-2025 06:51:58 PM,59770,0.00000,0,1372.10000,3.77000
01-22-2025 06:52:03 PM,59823,0.00000,0,1372.10000,3.77000
01-22-2025 06:54:38 PM,61372,0.00000,0,1372.10000,3.77000
01-22-2025 06:54:43 PM,61421,0.00000,0,1372.10000,3.77000
01-22-2025 06:54:48 PM,61474,0.00000,0,1372.10000,3.77000
01-22-2025 06:54:53 PM,61522,0.00000,0,1372.10000,3.77000
01-22-2025 06:57:29 PM,63078,0.00000,0,1372.10000,3.77000
01-22-2025 06:57:34 PM,63127,0.00000,0,1372.10000,3.77000
01-22-2025 06:57:39 PM,63180,0.00000,0,1372.10000,3.77000
01-22-2025 06:57:44 PM,63228,0.00000,0,1372.10000,3.77000
01-22-2025 07:00:19 PM,64785,0.00000,0,1372.10000,3.77000
01-22-2025 07:00:24 PM,64833,0.00000,0,1372.10000,3.77000
01-22-2025 07:00:29 PM,64886,0.00000,0,1372.10000,3.77000
01-22-2025 07:00:34 PM,64934,0.00000,0,1372.10000,3.77000
01-22-2025 07:00:40 PM,64988,0.00000,0,1372.10000,3.77000
01-22-2025 07:03:10 PM,66493,0.00000,0,1372.10000,3.77000
01-22-2025 07:03:15 PM,66541,0.00000,0,1372.10000,3.77000
01-22-2025 07:03:20 PM,66594,0.00000,0,1372.10000,3.77000
01-22-2025 07:03:25 PM,66642,0.00000,0,1372.10000,3.77000
01-22-2025 07:06:01 PM,68199,0.00000,0,1372.10000,3.77000
01-22-2025 07:06:06 PM,68247,0.00000,0,1372.10000,3.77000
01-22-2025 07:06:11 PM,68300,0.00000,0,1372.10000,3.77000
01-22-2025 07:06:16 PM,68349,0.00000,0,1372.10000,3.77000
01-22-2025 07:08:51 PM,69904,0.00000,0,1372.10000,3.77000
01-22-2025 07:08:56 PM,69952,0.00000,0,1372.10000,3.77000
01-22-2025 07:09:01 PM,70006,0.00000,0,1372.10000,3.77000
01-22-2025 07:09:06 PM,70054,0.00000,0,1372.10000,3.77000
01-22-2025 07:11:42 PM,71611,0.00000,0,1372.10000,3.77000
01-22-2025 07:11:47 PM,71659,0.00000,0,1372.10000,3.77000
01-22-2025 07:11:52 PM,71713,0.00000,0,1372.10000,3.77000
01-22-2025 07:11:57 PM,71761,0.00000,0,1372.10000,3.77000
01-22-2025 07:16:37 PM,74563,0.00000,0,1372.10000,3.77000
01-22-2025 07:19:33 PM,76326,0.00000,0,1372.10000,3.77000
01-22-2025 07:19:38 PM,76374,0.00000,0,1372.10000,3.77000
01-22-2025 07:19:44 PM,76427,0.00000,0,1372.10000,3.77000
01-22-2025 07:19:48 PM,76475,0.00000,0,1372.10000,3.77000
01-22-2025 07:22:23 PM,78018,0.00000,0,1372.10000,3.77000
01-22-2025 07:22:27 PM,78066,0.00000,0,1372.10000,3.77000
01-22-2025 07:22:33 PM,78119,0.00000,0,1372.10000,3.77000
01-22-2025 07:22:38 PM,78167,0.00000,0,1372.10000,3.77000
01-22-2025 07:25:13 PM,79723,0.00000,0,1372.10000,3.77000
01-22-2025 07:25:18 PM,79771,0.00000,0,1372.10000,3.77000
01-22-2025 07:25:23 PM,79824,0.00000,0,1372.10000,3.77000
01-22-2025 07:25:28 PM,79873,0.00000,0,1372.10000,3.77000
01-22-2025 07:28:04 PM,81429,0.00000,0,1372.10000,3.77000
01-22-2025 07:28:09 PM,81477,0.00000,0,1372.10000,3.77000
01-22-2025 07:28:14 PM,81531,0.00000,0,1372.10000,3.77000
01-22-2025 07:28:19 PM,81579,0.00000,0,1372.10000,3.77000
01-22-2025 07:30:54 PM,83135,0.00000,0,1372.10000,3.77000
01-22-2025 07:30:59 PM,83184,0.00000,0,1372.10000,3.77000
01-22-2025 07:31:05 PM,83237,0.00000,0,1372.10000,3.77000
01-22-2025 07:31:09 PM,83285,0.00000,0,1372.10000,3.77000
01-22-2025 07:33:45 PM,84841,0.00000,0,1372.10000,3.77000
01-22-2025 07:33:50 PM,84890,0.00000,0,1372.10000,3.77000
01-22-2025 07:33:55 PM,84943,0.00000,0,1372.10000,3.77000
01-22-2025 07:34:00 PM,84991,0.00000,0,1372.10000,3.77000
01-22-2025 07:36:36 PM,86549,0.00000,0,1372.10000,3.77000
01-22-2025 07:36:41 PM,86597,0.00000,0,1372.10000,3.77000
01-22-2025 07:36:46 PM,86650,0.00000,0,1372.10000,3.77000
01-22-2025 07:36:51 PM,86699,0.00000,0,1372.10000,3.77000
01-22-2025 07:39:26 PM,88252,0.00000,0,1372.10000,3.77000
01-22-2025 07:39:31 PM,88305,0.00000,0,1372.10000,3.77000
01-22-2025 07:39:36 PM,88353,0.00000,0,1372.10000,3.77000
01-22-2025 07:39:41 PM,88406,0.00000,0,1372.10000,3.77000
01-22-2025 07:42:17 PM,89959,0.00000,0,1372.10000,3.77000
01-22-2025 07:42:22 PM,90008,0.00000,0,1372.10000,3.77000
01-22-2025 07:42:27 PM,90061,0.00000,0,1372.10000,3.77000
01-22-2025 07:42:32 PM,90109,0.00000,0,1372.10000,3.77000
01-22-2025 07:45:07 PM,91666,0.00000,0,1372.10000,3.77000
01-22-2025 07:45:12 PM,91714,0.00000,0,1372.10000,3.77000
01-22-2025 07:45:18 PM,91767,0.00000,0,1372.10000,3.77000
01-22-2025 07:45:22 PM,91816,0.00000,0,1372.10000,3.77000
01-22-2025 07:47:58 PM,93372,0.00000,0,1372.10000,3.77000
01-22-2025 07:48:03 PM,93421,0.00000,0,1372.10000,3.77000
01-22-2025 07:48:08 PM,93474,0.00000,0,1372.10000,3.77000
01-22-2025 07:48:13 PM,93522,0.00000,0,1372.10000,3.77000
01-22-2025 07:50:49 PM,95079,0.00000,0,1372.10000,3.77000
01-22-2025 07:50:54 PM,95127,0.00000,0,1372.10000,3.77000
01-22-2025 07:50:59 PM,95180,0.00000,0,1372.10000,3.77000
01-22-2025 07:51:04 PM,95228,0.00000,0,1372.10000,3.77000
01-22-2025 07:51:09 PM,95282,0.00000,0,1372.10000,3.77000
01-22-2025 07:53:39 PM,96786,0.00000,0,1372.10000,3.77000
01-22-2025 07:53:44 PM,96834,0.00000,0,1372.10000,3.77000
01-22-2025 07:53:50 PM,96887,0.00000,0,1372.10000,3.77000
01-22-2025 07:53:54 PM,96936,0.00000,0,1372.10000,3.77000
01-22-2025 07:56:30 PM,98492,0.00000,0,1372.10000,3.77000
