Time (mm-dd-yyyy H:M:S),Time (.1s Delta),Wheatstone Voltage (V),Range,Log Amp Voltage,Battery Voltage
01-22-2025 05:15:17 PM,1766,0.00000,0,1372.10000,3.74000
01-22-2025 05:15:22 PM,1814,0.00000,0,1372.10000,3.74000
01-22-2025 05:15:28 PM,1867,0.00000,0,1372.10000,3.74000
01-22-2025 05:15:32 PM,1916,0.00000,0,1372.10000,3.74000
01-22-2025 05:18:10 PM,3496,0.00000,0,1372.10000,3.74000
01-22-2025 05:18:16 PM,3549,0.00000,0,1372.10000,3.74000
01-22-2025 05:18:21 PM,3598,0.00000,0,1372.10000,3.74000
01-22-2025 05:18:26 PM,3651,0.00000,0,1372.10000,3.74000
01-22-2025 05:23:08 PM,6469,0.00000,0,1372.10000,3.74000
01-22-2025 05:23:13 PM,6517,0.00000,0,1372.10000,3.74000
01-22-2025 05:23:18 PM,6570,0.00000,0,1372.10000,3.74000
01-22-2025 05:23:23 PM,6618,0.00000,0,1372.10000,3.74000
01-22-2025 05:26:01 PM,8199,0.00000,0,1372.10000,3.74000
01-22-2025 05:26:06 PM,8252,0.00000,0,1372.10000,3.74000
01-22-2025 05:26:11 PM,8300,0.00000,0,1372.10000,3.74000
01-22-2025 05:26:16 PM,8354,0.00000,0,1372.10000,3.74000
01-22-2025 05:30:58 PM,11171,0.00000,0,1372.10000,3.74000
01-22-2025 05:31:03 PM,11219,0.00000,0,1372.10000,3.74000
01-22-2025 05:31:08 PM,11273,0.00000,0,1372.10000,3.74000
01-22-2025 05:31:13 PM,11321,0.00000,0,1372.10000,3.74000
01-22-2025 05:33:51 PM,12901,0.00000,0,1372.10000,3.74000
01-22-2025 05:33:56 PM,12955,0.00000,0,1372.10000,3.74000
01-22-2025 05:34:01 PM,13003,0.00000,0,1372.10000,3.74000
01-22-2025 05:34:06 PM,13056,0.00000,0,1372.10000,3.74000
01-22-2025 05:38:48 PM,15870,0.00000,0,1372.10000,3.74000
01-22-2025 05:38:53 PM,15924,0.00000,0,1372.10000,3.74000
01-22-2025 05:38:58 PM,15972,0.00000,0,1372.10000,3.74000
01-22-2025 05:39:03 PM,16025,0.00000,0,1372.10000,3.74000
01-22-2025 05:41:41 PM,17606,0.00000,0,1372.10000,3.74000
