2025-01-22 17:25:41,120 - WARNING - 01-22-2025 05:25:40 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:25:46,249 - WARNING - 01-22-2025 05:25:46 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:25:51,266 - WARNING - 01-22-2025 05:25:51 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:25:56,407 - WARNING - 01-22-2025 05:25:56 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:26:01,412 - WARNING - 01-22-2025 05:26:01 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:26:06,544 - WARNING - 01-22-2025 05:26:06 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:26:11,559 - WARNING - 01-22-2025 05:26:11 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:26:16,695 - WARNING - 01-22-2025 05:26:16 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:28:22,641 - INFO - 01-22-2025 05:28:22 PM | sensor: 3, wheatstone voltage:  1.57794, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:28:27,781 - INFO - 01-22-2025 05:28:27 PM | sensor: 3, wheatstone voltage:  1.57794, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:28:32,787 - INFO - 01-22-2025 05:28:32 PM | sensor: 4, wheatstone voltage:  1.66073, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:28:37,917 - INFO - 01-22-2025 05:28:37 PM | sensor: 4, wheatstone voltage:  1.66073, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:28:42,933 - INFO - 01-22-2025 05:28:42 PM | sensor: 4, wheatstone voltage:  1.66073, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:28:48,064 - INFO - 01-22-2025 05:28:48 PM | sensor: 4, wheatstone voltage:  1.66073, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:30:53,319 - WARNING - 01-22-2025 05:30:53 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:30:58,452 - WARNING - 01-22-2025 05:30:58 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:31:03,465 - WARNING - 01-22-2025 05:31:03 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:31:08,600 - WARNING - 01-22-2025 05:31:08 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:31:13,611 - WARNING - 01-22-2025 05:31:13 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:31:18,742 - INFO - 01-22-2025 05:31:18 PM | sensor: 3, wheatstone voltage:  1.57758, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:33:26,369 - INFO - 01-22-2025 05:33:26 PM | sensor: 4, wheatstone voltage:  1.66133, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:33:31,369 - WARNING - 01-22-2025 05:33:31 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:33:36,500 - WARNING - 01-22-2025 05:33:36 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:33:41,514 - WARNING - 01-22-2025 05:33:41 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:33:46,647 - WARNING - 01-22-2025 05:33:46 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:33:51,661 - WARNING - 01-22-2025 05:33:51 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:33:56,801 - WARNING - 01-22-2025 05:33:56 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:34:01,807 - WARNING - 01-22-2025 05:34:01 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:34:06,937 - WARNING - 01-22-2025 05:34:06 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:36:12,895 - INFO - 01-22-2025 05:36:12 PM | sensor: 3, wheatstone voltage:  1.57826, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:36:18,027 - INFO - 01-22-2025 05:36:18 PM | sensor: 3, wheatstone voltage:  1.57826, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:36:23,041 - INFO - 01-22-2025 05:36:22 PM | sensor: 4, wheatstone voltage:  1.66151, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:36:28,182 - INFO - 01-22-2025 05:36:28 PM | sensor: 4, wheatstone voltage:  1.66151, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:36:33,187 - INFO - 01-22-2025 05:36:33 PM | sensor: 4, wheatstone voltage:  1.66151, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:36:38,318 - INFO - 01-22-2025 05:36:38 PM | sensor: 4, wheatstone voltage:  1.66151, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:38:43,534 - WARNING - 01-22-2025 05:38:43 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:38:48,549 - WARNING - 01-22-2025 05:38:48 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:38:53,686 - WARNING - 01-22-2025 05:38:53 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:38:58,696 - WARNING - 01-22-2025 05:38:58 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:39:03,832 - WARNING - 01-22-2025 05:39:03 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:39:08,842 - INFO - 01-22-2025 05:39:08 PM | sensor: 3, wheatstone voltage:  1.57811, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:41:16,557 - INFO - 01-22-2025 05:41:16 PM | sensor: 4, wheatstone voltage:  1.66229, range: 0, log amp voltage:  0.00000, battery voltage:  3.76400
2025-01-22 17:41:21,694 - WARNING - 01-22-2025 05:41:21 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:41:26,703 - WARNING - 01-22-2025 05:41:26 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
